date,sentiment_score
2026-02-14 12:27:04,0.231964
2026-02-14 12:27:08,0.30381
2026-02-14 12:27:09,0.487641
2026-02-14 12:27:11,-0.387082
2026-02-14 12:27:12,0.456885
2026-02-14 12:27:13,0.224133
2026-02-14 12:27:14,0.398549
2026-02-14 12:27:15,0.004727
2026-02-14 12:27:15,0.032987
2026-02-14 12:27:15,-0.394556
2026-02-14 12:27:15,0.187543
2026-02-14 12:27:17,0.209812
2026-02-14 12:27:19,0.540558
2026-02-14 12:27:19,0.467758
2026-02-14 12:27:19,0.486372
2026-02-14 12:27:24,0.23523
2026-02-14 12:27:27,0.416802
2026-02-14 12:27:28,-0.120784
2026-02-14 12:27:28,-0.375171
2026-02-14 12:27:32,0.242472
2026-02-14 12:27:33,0.195186
2026-02-14 12:27:33,0.481195
2026-02-14 12:27:34,0.139771
2026-02-14 12:27:36,0.024268
2026-02-14 12:27:38,-0.258642
2026-02-14 12:27:41,-0.240898
2026-02-14 12:27:45,-0.32829
2026-02-14 12:27:47,-0.243475
2026-02-14 12:27:49,0.418715
2026-02-14 12:27:49,-0.632848
2026-02-14 12:27:56,0.406231
2026-02-14 12:27:58,0.413913
2026-02-14 12:27:58,0.420197
2026-02-14 12:28:00,0.054523
2026-02-14 12:28:14,0.46977
2026-02-14 12:28:16,0.810369
2026-02-14 12:28:20,0.030678
2026-02-14 12:28:22,0.269473
2026-02-14 12:29:26,0.088409
2026-02-14 12:30:00,0.403029
2026-02-14 12:32:30,0.315109
2026-02-14 12:33:00,-0.272225
2026-02-14 12:34:00,-0.426235
2026-02-14 12:34:36,-0.253235
2026-02-14 12:36:00,0.415076
2026-02-14 12:39:32,0.152206
2026-02-14 12:41:38,0.120241
2026-02-14 12:42:00,0.044766
2026-02-14 12:43:00,0.222369
2026-02-14 12:44:00,0.128909
2026-02-14 12:44:00,0.123664
2026-02-14 12:44:00,0.110999
2026-02-14 12:44:00,0.133818
2026-02-14 12:44:00,0.135948
2026-02-14 12:44:36,0.166992
2026-02-14 12:45:20,-0.260842
2026-02-14 12:47:23,0.331376
2026-02-14 12:56:22,0.258834
2026-02-14 12:56:43,0.716735
2026-02-14 12:57:05,0.105296
2026-02-14 12:57:05,0.213716
2026-02-14 12:57:12,-0.443243
2026-02-14 12:57:12,0.187932
2026-02-14 12:57:14,0.499417
2026-02-14 12:57:16,-0.248985
2026-02-14 12:57:17,0.524681
2026-02-14 12:57:17,0.11665
2026-02-14 12:57:19,-0.841462
2026-02-14 12:57:20,0.026176
2026-02-14 12:57:21,-0.645838
2026-02-14 12:57:21,0.333714
2026-02-14 12:57:21,0.228975
2026-02-14 12:57:22,-0.207676
2026-02-14 12:57:24,0.421654
2026-02-14 12:57:24,0.412971
2026-02-14 12:57:24,0.809379
2026-02-14 12:57:25,0.141936
2026-02-14 12:57:25,0.285583
2026-02-14 12:57:27,0.222126
2026-02-14 12:57:28,0.406898
2026-02-14 12:57:28,0.300847
2026-02-14 12:57:32,0.264803
2026-02-14 12:57:34,-0.243482
2026-02-14 12:57:36,0.515683
2026-02-14 12:57:37,-0.332681
2026-02-14 12:57:40,0.327738
2026-02-14 12:57:41,-0.284762
2026-02-14 12:57:42,-0.207629
2026-02-14 12:57:42,0.451281
2026-02-14 12:57:42,-0.199101
2026-02-14 12:57:43,-0.253576
2026-02-14 12:57:45,-0.276683
2026-02-14 12:57:46,-0.103863
2026-02-14 12:57:47,0.538423
2026-02-14 12:57:53,0.602124
2026-02-14 12:57:55,0.033667
2026-02-14 12:58:00,0.018505
2026-02-14 12:58:02,0.573149
2026-02-14 12:58:04,-0.129039
2026-02-14 12:58:05,-0.206807
2026-02-14 12:58:05,-0.602702
2026-02-14 12:58:08,-0.210675
2026-02-14 12:58:09,0.348767
2026-02-14 12:58:19,-0.281257
2026-02-14 12:58:24,0.26689
2026-02-14 12:58:25,-0.210795
2026-02-14 12:58:25,-0.640328
2026-02-14 12:58:26,0.127023
2026-02-14 12:58:32,0.338063
2026-02-14 12:58:34,-0.041126
2026-02-14 12:59:34,-0.474619
2026-02-14 13:02:00,0.288374
2026-02-14 13:02:00,0.373586
2026-02-14 13:02:58,0.262836
2026-02-14 13:03:12,0.382915
2026-02-14 13:03:39,-0.126502
2026-02-14 13:04:00,-0.280896
2026-02-14 13:06:42,0.495726
2026-02-14 13:08:26,0.006468
2026-02-14 13:09:38,0.388829
2026-02-14 13:09:44,0.327987
2026-02-14 13:09:49,0.106431
2026-02-14 13:11:45,0.287375
2026-02-14 13:12:00,-0.422751
2026-02-14 13:14:40,0.301476
2026-02-14 13:14:46,0.401219
2026-02-14 13:14:58,0.46665
2026-02-14 13:15:12,-0.206057
2026-02-14 13:15:31,-0.131361
2026-02-14 13:26:15,0.32252
2026-02-14 13:26:16,-0.108061
2026-02-14 13:26:47,0.475404
2026-02-14 13:26:47,0.126993
2026-02-14 13:26:56,0.605626
2026-02-14 13:27:12,0.387489
2026-02-14 13:27:14,0.232015
2026-02-14 13:27:16,0.273792
2026-02-14 13:27:16,-0.236079
2026-02-14 13:27:17,0.314743
2026-02-14 13:27:21,0.006525
2026-02-14 13:27:25,0.043275
2026-02-14 13:27:25,0.327441
2026-02-14 13:27:27,-0.212814
2026-02-14 13:27:30,0.42211
2026-02-14 13:27:31,0.074823
2026-02-14 13:27:32,0.514242
2026-02-14 13:27:36,0.559452
2026-02-14 13:27:37,0.231505
2026-02-14 13:27:37,0.390787
2026-02-14 13:27:38,-0.331978
2026-02-14 13:27:38,0.191478
2026-02-14 13:27:40,0.286176
2026-02-14 13:27:41,0.394937
2026-02-14 13:27:42,0.130039
2026-02-14 13:27:48,0.28788
2026-02-14 13:27:48,0.029131
2026-02-14 13:27:48,-0.166006
2026-02-14 13:27:49,0.309204
2026-02-14 13:27:50,-0.210053
2026-02-14 13:27:51,0.297795
2026-02-14 13:27:51,0.514089
2026-02-14 13:27:52,0.292404
2026-02-14 13:27:54,-0.440447
2026-02-14 13:27:56,0.440743
2026-02-14 13:27:57,0.258219
2026-02-14 13:27:59,0.292957
2026-02-14 13:27:59,0.249084
2026-02-14 13:27:59,-0.239034
2026-02-14 13:28:00,0.459358
2026-02-14 13:28:03,-0.238577
2026-02-14 13:28:04,0.183234
2026-02-14 13:28:04,-0.357868
2026-02-14 13:28:06,0.325595
2026-02-14 13:28:08,0.340224
2026-02-14 13:28:09,0.525432
2026-02-14 13:28:10,0.274641
2026-02-14 13:28:18,-0.635543
2026-02-14 13:28:20,-0.084251
2026-02-14 13:28:21,0.311256
2026-02-14 13:28:23,0.183406
2026-02-14 13:28:24,-0.469848
2026-02-14 13:28:25,0.256929
2026-02-14 13:28:29,0.220208
2026-02-14 13:28:32,0.27492
2026-02-14 13:30:00,0.400168
2026-02-14 13:35:48,0.035261
2026-02-14 13:35:52,0.282865
2026-02-14 13:38:00,0.139561
2026-02-14 13:38:01,0.257026
2026-02-14 13:40:00,-0.210953
2026-02-14 13:40:21,0.321943
2026-02-14 13:44:00,0.112284
2026-02-14 13:48:44,0.523556
2026-02-14 13:48:51,0.38422
2026-02-14 13:52:00,0.269241
2026-02-14 13:54:00,0.102031
2026-02-14 13:56:32,0.272541
2026-02-14 13:56:46,0.098954
2026-02-14 13:56:58,0.307302
2026-02-14 13:57:07,0.211195
2026-02-14 13:57:12,0.169125
2026-02-14 13:57:17,-0.434381
2026-02-14 13:57:17,0.458487
2026-02-14 13:57:18,-0.404544
2026-02-14 13:57:21,0.123492
2026-02-14 13:57:26,0.343309
2026-02-14 13:57:32,0.868404
2026-02-14 13:57:33,-0.409106
2026-02-14 13:57:33,0.046766
2026-02-14 13:57:36,0.260263
2026-02-14 13:57:36,0.319158
2026-02-14 13:57:36,0.47006
2026-02-14 13:57:36,-0.135784
2026-02-14 13:57:37,0.270703
2026-02-14 13:57:40,0.427714
2026-02-14 13:57:42,0.260222
2026-02-14 13:57:43,0.404125
2026-02-14 13:57:43,0.213889
2026-02-14 13:57:44,0.290639
2026-02-14 13:57:44,-0.463105
2026-02-14 13:57:46,0.467302
2026-02-14 13:57:48,-0.217245
2026-02-14 13:57:51,0.493814
2026-02-14 13:57:53,0.444733
2026-02-14 13:57:55,0.801274
2026-02-14 13:57:55,0.445649
2026-02-14 13:58:10,0.487615
2026-02-14 13:58:47,-0.381541
2026-02-14 13:59:37,0.212134
2026-02-14 14:01:00,-0.228049
2026-02-14 14:07:04,0.027507
2026-02-14 14:10:00,-0.291282
2026-02-14 14:11:00,0.27324
2026-02-14 14:14:00,0.13686
2026-02-14 14:16:00,0.337589
2026-02-14 14:17:38,0.139784
2026-02-14 14:19:10,0.435749
2026-02-14 14:20:55,-0.424235
2026-02-14 14:24:16,0.400833
2026-02-14 14:25:57,0.070475
2026-02-14 14:26:21,0.054217
2026-02-14 14:26:26,0.056926
2026-02-14 14:26:27,0.419668
2026-02-14 14:26:58,-0.089806
2026-02-14 14:27:05,0.443274
2026-02-14 14:27:14,-0.060839
2026-02-14 14:27:16,-0.501279
2026-02-14 14:27:18,0.058664
2026-02-14 14:27:21,0.281683
2026-02-14 14:27:23,0.045465
2026-02-14 14:27:27,0.415373
2026-02-14 14:27:33,0.045928
2026-02-14 14:27:34,0.101338
2026-02-14 14:27:39,0.240236
2026-02-14 14:27:40,0.294646
